timestep,mean_reward_last_100,mean_episode_length_last_100
813000,0.85,16.61
814000,0.84,16.53
815000,0.9,17.23
816000,0.94,17.5
817000,0.82,16.38
818000,0.8,15.74
819000,0.95,17.8
820000,0.83,16.65
821000,0.95,18.03
822000,0.89,17.13
823000,0.85,16.54
824000,0.98,18.06
825000,0.91,16.82
826000,0.87,16.29
827000,0.89,16.65
828000,0.91,17.12
829000,0.89,17.27
830000,0.93,18.14
831000,0.9,17.37
832000,0.71,14.87
833000,0.92,17.46
834000,0.84,16.72
835000,0.7,14.44
836000,0.71,14.37
837000,0.8,15.68
838000,0.92,17.57
839000,0.91,17.34
840000,0.68,14.23
841000,0.75,15.51
842000,0.84,16.64
843000,0.79,15.68
844000,0.93,17.12
845000,0.75,14.97
846000,0.83,16.4
847000,0.9,17.11
848000,0.71,15.02
849000,0.73,15.28
850000,0.87,17.29
851000,0.85,16.58
852000,0.8,16.16
853000,0.9,17.36
854000,0.84,16.33
855000,0.91,17.58
856000,1.0,18.38
857000,0.78,15.36
858000,0.66,14.09
859000,0.73,15.03
860000,0.9,17.08
861000,0.83,16.31
862000,0.76,15.58
863000,0.68,14.49
864000,0.74,15.57
865000,0.75,15.35
866000,0.84,16.44
867000,0.57,13.37
868000,0.7,14.82
869000,0.94,17.95
870000,0.79,15.63
871000,0.85,16.14
872000,0.72,15.1
873000,0.7,14.73
874000,0.89,16.96
875000,0.93,17.78
876000,0.96,17.92
877000,0.89,17.09
878000,0.91,17.03
879000,0.91,17.15
880000,0.87,16.69
881000,1.05,18.96
882000,1.18,20.3
883000,0.96,17.5
884000,0.78,15.73
885000,0.74,15.35
886000,0.97,18.15
887000,1.03,19.27
888000,0.87,17.28
889000,0.87,17.06
890000,0.96,18.03
891000,0.93,17.9
892000,0.84,16.65
893000,0.68,14.62
894000,0.91,17.49
895000,0.92,17.52
896000,0.79,15.85
897000,0.68,14.21
898000,0.87,16.54
899000,0.99,18.38
900000,0.97,18.32
901000,0.82,16.71
902000,0.77,15.6
903000,0.72,14.69
904000,0.7,14.97
905000,0.79,16.23
906000,0.93,17.54
907000,0.75,14.98
