timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
359000,1.84,29.9,18544
360000,1.84,29.54,18577
361000,1.85,29.13,18607
362000,2.08,32.03,18637
363000,1.93,30.19,18677
364000,1.71,27.78,18713
365000,1.67,27.01,18749
366000,1.8,28.49,18783
367000,1.93,30.26,18810
368000,2.04,31.63,18841
369000,2.13,33.14,18872
370000,2.09,32.35,18904
371000,2.08,31.87,18936
372000,2.07,31.7,18966
373000,1.92,29.6,19005
374000,2.04,31.98,19031
375000,2.03,32.09,19060
376000,2.18,33.53,19092
377000,2.03,30.99,19129
378000,2.04,30.46,19159
379000,1.95,29.87,19194
380000,1.99,30.5,19224
381000,2.0,31.49,19253
382000,2.13,33.23,19282
383000,2.01,31.74,19317
384000,1.97,30.85,19347
385000,1.89,29.8,19384
386000,1.88,29.65,19418
387000,1.58,26.11,19459
388000,1.81,29.32,19487
389000,1.86,29.76,19519
390000,2.11,32.78,19546
391000,2.19,32.96,19579
392000,2.13,32.19,19611
393000,2.0,30.18,19646
394000,2.0,30.48,19677
395000,2.08,31.54,19707
396000,2.04,31.29,19743
397000,2.03,31.35,19774
398000,1.96,30.64,19805
399000,2.09,32.23,19831
400000,2.15,32.75,19865
401000,2.13,32.17,19899
402000,1.93,30.11,19931
403000,1.62,26.4,19974
404000,1.6,26.81,20009
405000,1.72,28.35,20040
406000,1.9,30.52,20072
407000,1.96,31.06,20104
408000,1.85,29.91,20141
409000,1.86,29.9,20172
410000,1.87,29.5,20206
411000,1.84,28.74,20244
412000,1.85,28.69,20277
413000,1.98,30.63,20304
414000,2.16,32.97,20333
415000,2.22,34.16,20365
416000,2.01,31.37,20400
417000,1.83,29.33,20434
418000,1.92,30.23,20465
419000,1.97,30.89,20495
420000,2.05,31.57,20528
421000,2.05,31.85,20560
422000,2.01,31.53,20591
423000,1.96,31.43,20623
424000,1.93,30.55,20658
425000,1.89,29.81,20691
426000,1.95,30.43,20720
427000,1.97,31.17,20755
428000,1.95,30.91,20789
429000,1.84,29.32,20825
430000,1.79,28.27,20859
431000,1.88,29.32,20890
432000,1.91,30.05,20925
433000,1.93,30.36,20956
434000,1.86,29.46,20992
435000,1.9,30.24,21023
436000,1.86,30.0,21055
437000,2.08,32.77,21082
438000,2.16,33.31,21111
439000,2.15,32.44,21146
440000,2.09,31.69,21177
441000,1.95,30.42,21210
442000,1.92,30.33,21244
443000,2.06,32.1,21272
444000,2.05,31.76,21303
445000,2.1,33.04,21334
446000,1.99,32.13,21366
447000,2.05,32.62,21395
448000,2.0,32.2,21427
449000,2.07,32.8,21460
450000,1.96,31.15,21491
451000,1.8,29.06,21529
452000,1.72,27.65,21566
453000,1.73,28.09,21597
454000,1.79,28.73,21636
455000,1.85,29.6,21667
456000,1.82,28.55,21702
457000,1.96,30.49,21733
458000,2.06,31.89,21760
459000,1.99,31.49,21798
460000,1.91,30.67,21831
461000,1.98,31.21,21857
462000,2.02,31.35,21890
463000,2.07,32.08,21924
464000,2.16,32.94,21950
465000,1.96,30.74,21986
466000,2.26,33.96,22013
467000,2.15,32.38,22045
468000,2.26,33.25,22075
469000,2.18,32.73,22105
470000,2.05,31.85,22137
471000,1.88,30.21,22173
472000,1.78,29.04,22207
473000,1.78,29.23,22240
474000,2.01,31.48,22269
475000,2.0,31.57,22300
476000,2.19,33.09,22330
477000,1.91,30.12,22369
478000,1.74,27.83,22406
479000,1.67,27.04,22439
480000,1.85,28.88,22471
481000,1.94,30.34,22504
482000,1.92,30.27,22538
483000,1.91,30.76,22568
484000,2.02,31.78,22598
485000,2.18,33.65,22626
486000,2.19,33.49,22657
487000,2.02,31.71,22691
488000,2.12,33.02,22720
489000,1.99,30.87,22754
490000,2.07,31.96,22786
491000,1.78,28.59,22825
492000,1.9,30.1,22852
493000,1.92,30.61,22883
494000,2.15,33.07,22913
495000,2.17,33.27,22944
496000,2.16,32.82,22975
497000,2.06,31.79,23007
498000,2.06,31.67,23038
499000,1.95,30.37,23073
500000,1.99,30.87,23104
501000,1.95,30.41,23135
502000,2.09,32.3,23165
503000,2.11,32.43,23195
504000,1.96,30.84,23232
505000,1.79,29.11,23268
506000,1.72,28.1,23302
507000,1.83,29.46,23334
508000,1.95,30.86,23366
509000,1.99,31.86,23395
510000,2.18,33.67,23424
511000,2.07,31.98,23459
512000,2.0,30.62,23493
513000,1.87,29.46,23525
514000,1.9,30.35,23557
515000,1.7,27.55,23600
516000,1.83,29.0,23630
517000,1.84,28.94,23664
518000,1.97,30.78,23694
519000,1.97,30.89,23727
520000,2.1,32.01,23759
521000,2.04,31.16,23790
522000,1.92,29.85,23824
523000,1.93,30.42,23857
524000,2.01,31.24,23886
525000,2.17,33.57,23913
526000,2.1,32.51,23949
527000,1.99,30.96,23981
528000,1.76,27.5,24018
529000,1.86,28.92,24052
530000,1.87,29.75,24082
531000,2.02,31.37,24110
532000,2.21,33.66,24140
533000,2.19,32.88,24171
534000,2.11,31.89,24206
535000,1.89,29.02,24241
536000,1.87,29.5,24273
537000,1.84,29.1,24310
538000,1.91,30.23,24340
539000,1.95,30.45,24370
540000,2.06,31.88,24401
541000,2.11,32.63,24433
542000,2.05,32.01,24465
543000,1.86,29.81,24502
544000,1.87,29.58,24535
545000,1.82,29.12,24567
546000,1.96,31.32,24595
547000,2.09,33.32,24626
548000,2.14,33.66,24657
549000,2.1,33.11,24685
550000,2.2,33.63,24716
551000,2.13,32.7,24750
552000,2.06,31.34,24780
553000,2.05,31.57,24812
554000,1.95,30.64,24848
555000,1.99,31.42,24878
556000,2.01,31.17,24908
557000,2.17,33.05,24938
558000,2.0,31.23,24972
559000,2.0,31.42,25005
560000,2.02,31.78,25033
561000,1.96,30.84,25068
562000,1.94,31.11,25101
563000,1.84,29.65,25133
564000,1.97,31.01,25162
565000,2.06,31.84,25196
566000,2.19,33.7,25222
567000,2.13,32.6,25254
568000,2.14,32.23,25284
569000,2.21,33.07,25313
570000,2.2,33.22,25344
571000,2.12,32.84,25375
572000,1.98,31.14,25406
573000,2.19,33.72,25432
574000,2.16,33.32,25465
575000,2.17,33.62,25494
576000,2.15,33.68,25523
577000,2.16,33.73,25551
578000,2.35,36.02,25577
579000,2.31,35.44,25606
580000,2.11,32.96,25645
581000,2.01,31.68,25672
582000,1.95,30.67,25704
583000,1.96,31.0,25741
584000,1.93,30.23,25770
585000,1.9,29.95,25804
586000,2.05,31.23,25836
587000,1.97,30.74,25868
588000,1.97,30.66,25901
589000,1.99,31.19,25933
590000,1.95,30.69,25964
591000,2.05,32.07,25994
592000,2.09,32.82,26023
593000,2.22,34.21,26050
594000,2.4,35.73,26077
595000,2.34,34.7,26110
596000,2.23,33.77,26141
597000,2.09,32.32,26170
598000,2.02,32.46,26202
599000,2.11,32.73,26231
600000,2.12,32.93,26261
601000,2.04,31.76,26295
602000,2.07,32.12,26322
603000,2.09,32.28,26355
604000,2.09,32.22,26387
605000,1.91,30.29,26421
606000,2.02,31.88,26450
607000,2.14,32.97,26477
608000,2.19,33.16,26510
